TRY Data Explorer Output	2023-2-14
Species Trait Table
Specieslist: 79, 80, 82, 1802, 3159, 3218, 5228, 9081, 9844, 211262, 10791, 11145, 213860, 21618, 22021, 231771, 64592, 33256, 34417, 
Trait	TraitID	.Abronia latifolia.	.Abronia maritima.	.Abronia umbellata.	.Agoseris apargioides.	.Ambrosia chamissonis.	.Ammophila arenaria.	.Artemisia pycnocephala.	.Cakile maritima.	.Calystegia soldanella.	.Camissoniopsis cheiranthifolia.	.Carpobrotus edulis.	.Castilleja latifolia.	.Chorizanthe pungens.	.Ericameria ericoides.	.Erysimum menziesii.	.Grindelia stricta var. platyphylla.	.Lathyrus littoralis.	.Leymus mollis.	.Lupinus arboreus.	
Species generation overlap	1137	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species genotype: chromosome base number	221	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species genotype: chromosome cDNA content	224	0	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	9	
Species genotype: chromosome number	223	0	0	0	0	0	8	0	6	2	0	1	0	0	0	0	0	0	0	9	
Species genotype: chromosome ploidy	222	0	0	0	0	0	5	0	2	3	0	0	0	0	0	0	0	0	0	8	
Species habitat characterisation / Plant requirement: precipitation	602	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	
Species habitat characterisation / Plant requirement: soil pH	600	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	
Species habitat characterisation / Plant requirement: soil texture	593	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	
Species light requirement	788	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	
Species nutrient requirements	1138	0	0	0	0	0	2	0	2	2	0	3	0	0	0	0	0	0	0	2	
Species nutritional relationships (mycorrhizal symbioses, N-fixation, parasitism, carnivory, …)	3488	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	
Species occurrence rang: typical abundance where naturally occurring	1139	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	
Species occurrence range characteristics	1140	0	0	0	0	0	24	0	40	30	0	19	0	0	0	0	0	0	0	17	
Species occurrence range: continentality	823	0	0	0	0	0	5	0	10	9	0	1	0	0	0	0	0	0	0	1	
Species occurrence range: endemism	244	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species occurrence range: native vs invasive	218	0	0	0	0	0	4	0	3	3	0	1	0	0	0	0	0	0	0	2	
Species occurrence range: number of floristic zones	200	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species occurrence range: origin zonal	827	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	4	
Species phyto-sociological group	230	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species reproduction type	208	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species soil moisture requirements	1144	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	
Species soil pH requirement	1142	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Species start of CGO formation versus reproduction	1146	0	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species status (nativity at growth location)	1145	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	
Species strategy type according to Grime	196	0	0	0	0	0	2	0	2	2	0	1	0	0	0	0	0	0	0	0	
Species tolerance to CaCO3	595	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Species tolerance to drought	30	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	
Species tolerance to fire	318	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2	
Species tolerance to frost	31	0	0	0	0	0	4	0	1	1	0	2	0	0	1	0	0	0	1	3	
Species tolerance to hedges	598	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Species tolerance to human impact	199	0	0	0	0	0	7	0	4	4	0	0	0	0	0	0	0	0	0	0	
Species tolerance to planting density	601	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	
Species tolerance to shade	603	0	0	0	0	0	5	0	12	3	0	3	0	0	0	0	0	0	0	5	
Species tolerance to waterlogging	61	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Species US Wetland Indicator	575	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stem longevity	1187	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	
Stem self-supporting	1188	0	0	0	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	1	
Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stomata distribution to ab- and adaxial leaf surfaces	781	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tillering type	1194	0	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	
Bark sclereids arrangement	834	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
Dispersal unit floating capacity	1263	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	
Flower number of pollen per ovule	210	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Inflorescence: seed number per inflorescence (total, fertile, infertile)	1104	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Leaf angle (inclination, orientation)	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	
Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	3113	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Leaf carbon isotope signature (delta 13C)	89	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	
Leaf length	144	0	0	0	0	0	0	0	1	0	0	0	0	0	266	0	0	0	0	0	
Leaf water content per leaf dry mass (not saturated)	3120	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
Leaf width	145	0	0	0	0	0	0	0	1	0	0	0	0	0	133	0	0	0	0	0	
