OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
212,0,5,43,131.741154827048604,40,-121.800329361999957,36.831468461000043,-121.800893339999959,36.832565615000078,-22.450733819096538
213,0,5,28,132.393602423368009,41,-121.800329361999957,36.831468461000043,-121.800105684999949,36.832647843000075,8.668237610492312
214,0,5,37,132.452776310808304,42,-121.800329361999957,36.831468461000043,-121.800589346999971,36.832643564000080,-10.084406268387697
215,0,5,29,133.496322125032918,43,-121.800329361999957,36.831468461000043,-121.800316864999957,36.832671365000067,0.478475686319723
216,0,6,5,9.616717274783005,1,-121.800281565999967,36.831546135000053,-121.800329361999957,36.831468461000043,-153.680840705546757
217,0,6,7,16.371418350564138,2,-121.800281565999967,36.831546135000053,-121.800367512999969,36.831676481000045,-27.925513212393586
218,0,6,11,21.296273538726531,3,-121.800281565999967,36.831546135000053,-121.800055386999986,36.831484738000029,108.659145791479105
219,0,6,12,22.444922778632723,4,-121.800281565999967,36.831546135000053,-121.800133798999980,36.831382438000048,144.034133739177804
220,0,6,3,24.725153057313573,5,-121.800281565999967,36.831546135000053,-121.800414957999976,36.831350835000080,-151.231243122447495
221,0,6,1,25.636202669676013,6,-121.800281565999967,36.831546135000053,-121.800523313999975,36.831421231000036,-122.730334482682480
222,0,6,2,25.902438743514434,7,-121.800281565999967,36.831546135000053,-121.800571617999992,36.831556904000024,-87.355467056199075
223,0,6,8,26.610624973786038,8,-121.800281565999967,36.831546135000053,-121.800395661999971,36.831767692000028,-22.487791146486728
224,0,6,4,29.385753846260393,9,-121.800281565999967,36.831546135000053,-121.800310932999992,36.831282392000048,-174.885232121126649
