OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
54,3,5,28.475278717689459,10,-121.800231593813251,36.831224200281618,-121.800329361999957,36.831468461000028,-17.835759837838317
55,3,1,28.785325207346162,11,-121.800424480730214,36.831174310863389,-121.800523313999960,36.831421231000036,-17.835875021982734
56,3,6,35.374874815334607,12,-121.800160108616069,36.831242689542087,-121.800281565999953,36.831546135000067,-17.835717176306972
57,3,2,44.437767050773950,13,-121.800419042450599,36.831175717457519,-121.800571617999992,36.831556904000024,-17.835871807192998
58,3,7,51.493102933271139,14,-121.800190714229373,36.831234773571694,-121.800367512999969,36.831676481000045,-17.835735440960644
59,3,17,52.668079283195844,15,-121.799649663826557,36.831374711828708,-121.799830493999977,36.831826499000051,-17.835412508816230
60,3,18,58.646950413454128,16,-121.799814709918522,36.831332024322386,-121.800016068999994,36.831835098000042,-17.835511011643401
61,3,8,61.897835874180061,17,-121.800183138944021,36.831236732877692,-121.800395661999971,36.831767692000021,-17.835730925390742
62,3,9,64.132069530617429,18,-121.799993466973774,36.831285790302722,-121.800213659999940,36.831835915000049,-17.835617701092691
63,3,19,67.076587219798895,19,-121.799678206206352,36.831367329649900,-121.799908506999927,36.831942713000046,-17.835429543776584
64,3,21,77.911262138940884,20,-121.799864551657620,36.831319133205277,-121.800132053999960,36.831987456000014,-17.835540759464063
65,3,20,78.662278130639194,21,-121.799596224179012,36.831388533395234,-121.799866302999973,36.832063299000026,-17.835380780013033
66,3,22,83.645622415887260,22,-121.800016042725503,36.831279951250060,-121.800303234999944,36.831997463000050,-17.835631174481122
67,3,24,101.612095253051493,23,-121.799751351887835,36.831348411270334,-121.800100228999952,36.832220040000045,-17.835473183477646
68,3,23,104.559392466090642,24,-121.800069390144756,36.831266153310651,-121.800428389999993,36.832163063000060,-17.835663023015918
69,3,25,105.979191746356804,25,-121.799791337206955,36.831338069455164,-121.800155208999982,36.832247159000076,-17.835497056101396
70,3,26,107.023722218652637,26,-121.799891791774215,36.831312087783736,-121.800259250999943,36.832230137000067,-17.835557020007965
71,3,40,113.105123707682282,27,-121.800395385727001,36.831181836192023,-121.800783730999953,36.832152050000040,-17.835857607937356
72,3,30,113.636707072762334,28,-121.800199250738089,36.831232565649870,-121.800589418999962,36.832207340000025,-17.835740531171989
73,3,44,119.841101290113357,29,-121.800302731614366,36.831205800821905,-121.800714203999959,36.832233796000018,-17.835802296335167
74,3,41,120.190426866959513,30,-121.800440710597300,36.831170113056963,-121.800888380999993,36.832191625000064,-19.406418583857938
75,3,31,125.448531076827635,31,-121.800244898052412,36.831220759206246,-121.800675622999947,36.832296855000031,-17.835767777739449
76,3,34,125.516719705942009,32,-121.799949139622768,36.831297255232087,-121.800380094999966,36.832373937000050,-17.835591238698655
77,3,33,128.063646196388788,33,-121.800062868302163,36.831267840141486,-121.800502569999978,36.832366369000056,-17.835659128030589
78,3,32,132.585554142743320,34,-121.800147071159856,36.831246061604205,-121.800602299999980,36.832383379000071,-17.835709391649086
79,3,35,133.274351586777783,35,-121.799995314172563,36.831285312538498,-121.800452905999961,36.832428539000034,-17.835618798103599
80,3,27,138.967351382515858,36,-121.799760175450928,36.831346129142673,-121.800237310999975,36.832538191000019,-17.835478454775046
81,3,36,142.838759439645798,37,-121.799952964263127,36.831296266018967,-121.800443394999959,36.832521536000044,-17.835593519869519
82,3,39,143.455065214419875,38,-121.800141246479029,36.831247568123409,-121.800633795999957,36.832478124000012,-17.835705917556783
83,3,28,146.954679720817722,39,-121.799601127350357,36.831387265246057,-121.800105684999934,36.832647843000075,-17.835383362596776
84,3,38,147.681712183755849,40,-121.800275618172506,36.831212813592948,-121.800782681999976,36.832479625000069,-17.835786112158441
85,3,42,152.807229940805513,41,-121.800440710597300,36.831170113056963,-121.801293592999968,36.832364255000073,-29.861206480646661
86,3,29,155.209626345607091,42,-121.799783961300250,36.831339977163147,-121.800316864999971,36.832671365000060,-17.835492653412736
87,3,37,159.717777428389837,43,-121.800040960447220,36.831273506458004,-121.800589346999956,36.832643564000072,-17.835646050792981
88,3,43,159.789324359187333,44,-121.800344702953723,36.831194945107185,-121.800893339999973,36.832565615000078,-17.835827357568160
